neighbour IDP?;neighbour code;neighbour in CSN;neighbour in SIGNOR;neighbour in ReactomeFI;neighbour disorder content;neighbour preclinical target;neighbour MCG target;target code;target in CSN;target in SIGNOR;target in ReactomeFI;target of small molecule;target of antibody;targetneighbour;target disorder content;both in CSN;both in SIGNOR;both in ReactomeFI;both in all 3;in triangle - CSN;in  triangle - SIGNOR;in  triangle - ReactomeFI;not in any triangle;no. of triangles - CSN;no. of triangles - SIGNOR;no. of triangles - ReactomeFI;no. of in cycle - CSN;no. of in  cycle - SIGNOR;no. of in  cycle - ReactomeFI;no. of in unbalanced triangle - CSN;no. of in  unbalanced triangle - SIGNOR;no. of in  unbalanced triangle - ReactomeFI;neighbour – target inhibition - CSN;target – neighbour stimulation - CSN;neighbour – target stimulation - CSN;target – neighbour inhibition - CSN;neighbour – target inhibition - SIGNOR;target – neighbour stimulation - SIGNOR;neighbour – target stimulation - SIGNOR;target – neighbour inhibition - SIGNOR;neighbour – target inhibition - ReactomeFI;target – neighbour stimulation - ReactomeFI;neighbour – target stimulation - ReactomeFI;target – neighbour inhibition - ReactomeFI;neighbour third partner - CSN;target third partner - CSN;neighbour third partner - SIGNOR;target third partner - SIGNOR;neighbour third partner - ReactomeFI;target third partner - ReactomeFI;neighbour bridgeness - CSN;neighbour betweenness - CSN;target bridgeness - CSN;target betweenness - CSN;neighbour bridgeness - SIGNOR;neighbour betweenness - SIGNOR;target bridgeness - SIGNOR;target betweenness - SIGNOR;neighbour bridgeness - ReactomeFI;neighbour betweenness - ReactomeFI;target bridgeness - ReactomeFI;target betweenness - ReactomeFI;prognostic;predisposing;diagnostic;predictive;predictive biomarker for target?
1;113;0;1;1;0.0604;0;0;13;1;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;6;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0.001371;7745.244079;0.416738;232.476934;0.668514;195725.6435;0.000775;3456.523495;0.942425;284291.8298;0;0;0;0;0
1;171;0;1;1;0.3687;0;0;117;1;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0.001182;251.598828;0.003035;2141.881463;1.202224;25468.33592;0.036307;24960.0693;0.020383;22724.7559;1;0;0;0;0
1;171;0;1;1;0.3687;0;0;63;1;1;1;1;0;1;0.0225;0;1;1;0;0;0;1;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.00065;12628.53075;0.003035;2141.881463;2.371876;40339.09798;0.036307;24960.0693;0.014865;15137.85004;1;0;0;0;0
1;171;0;1;1;0.3687;0;0;52;1;1;1;1;1;1;0.0144;0;1;1;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.000056;89.771816;0.003035;2141.881463;5.151793;21444.15799;0.036307;24960.0693;0.411088;27729.09211;1;0;0;0;0
1;173;0;0;1;0.1202;0;0;70;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.086701;144284.8318;0.000027;97.870884;1;1;1;0;0
1;203;1;1;1;0.0598;0;0;128;1;1;1;1;0;0;0;1;1;1;1;0;1;1;0;0;1;9;0;0;4;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0.00014;411.58335;9.78476;9566.695066;8.600826;73839.38001;0.000277;717.425201;0.097524;99079.27818;1;0;0;0;0
1;171;0;1;1;0.3687;0;0;82;1;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.000113;449.284023;0.003035;2141.881463;3.507607;5646.817157;0.036307;24960.0693;0.023628;31057.69387;1;0;0;0;0
1;171;0;1;1;0.3687;0;0;56;1;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.000029;1328.144006;0.003035;2141.881463;2.846163;6183.362211;0.036307;24960.0693;0.107212;73659.33243;1;0;0;0;0
1;44;1;1;1;0.6334;0;0;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.21689;263.280683;0;0;0.536756;410.33571;4.027468;416.222215;0.012231;33599.56206;0.063186;44571.73732;1;1;1;1;0
1;73;0;1;1;0.125;0;0;107;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;6;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;13.072673;23568.85798;0;0;0.166133;35289.04023;0.36748;16437.18502;1;1;1;1;0
1;144;0;0;1;0.2073;0;0;107;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;32;0;0;7;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.090889;3520.439864;0.36748;16437.18502;1;0;0;0;0
1;203;1;1;1;0.0598;0;0;32;1;1;1;1;0;1;0.0293;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.048995;14008.53255;9.78476;9566.695066;5.827592;86734.95195;0.000277;717.425201;0.224211;84013.94301;1;0;0;0;0
1;204;1;1;1;0.1407;0;0;231;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003745;726.334496;0.061147;15608.53974;0.13008;603.02302;17.261485;77403.49908;0.167315;40590.79362;0.016802;52490.07819;1;0;1;0;0
1;44;1;1;1;0.6334;0;0;5;0;1;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.21689;263.280683;0;0;0.536756;410.33571;0.004232;4161;0.012231;33599.56206;0.252387;12054.25912;1;1;1;1;0
1;152;0;0;1;0.2228;0;0;5;0;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004232;4161;0.370094;17084.22182;0.252387;12054.25912;1;0;1;1;0
1;44;1;1;1;0.6334;0;0;79;1;1;1;0;1;0;0;1;1;1;1;0;0;1;0;0;0;7;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.21689;263.280683;0.000006;0;0.536756;410.33571;42.414389;5206.897276;0.012231;33599.56206;0.563969;92345.92147;1;1;1;1;0
