neighbour IDP?;neighbour code;neighbour in CSN;neighbour in SIGNOR;neighbour in ReactomeFI;neighbour disorder content;neighbour preclinical target;neighbour MCG target;target code;target in CSN;target in SIGNOR;target in ReactomeFI;target of small molecule;target of antibody;targetneighbour;target disorder content;both in CSN;both in SIGNOR;both in ReactomeFI;both in all 3;in triangle - CSN;in  triangle - SIGNOR;in  triangle - ReactomeFI;not in any triangle;no. of triangles - CSN;no. of triangles - SIGNOR;no. of triangles - ReactomeFI;no. of in cycle - CSN;no. of in  cycle - SIGNOR;no. of in  cycle - ReactomeFI;no. of in unbalanced triangle - CSN;no. of in  unbalanced triangle - SIGNOR;no. of in  unbalanced triangle - ReactomeFI;neighbour – target inhibition - CSN;target – neighbour stimulation - CSN;neighbour – target stimulation - CSN;target – neighbour inhibition - CSN;neighbour – target inhibition - SIGNOR;target – neighbour stimulation - SIGNOR;neighbour – target stimulation - SIGNOR;target – neighbour inhibition - SIGNOR;neighbour – target inhibition - ReactomeFI;target – neighbour stimulation - ReactomeFI;neighbour – target stimulation - ReactomeFI;target – neighbour inhibition - ReactomeFI;neighbour third partner - CSN;target third partner - CSN;neighbour third partner - SIGNOR;target third partner - SIGNOR;neighbour third partner - ReactomeFI;target third partner - ReactomeFI;neighbour bridgeness - CSN;neighbour betweenness - CSN;target bridgeness - CSN;target betweenness - CSN;neighbour bridgeness - SIGNOR;neighbour betweenness - SIGNOR;target bridgeness - SIGNOR;target betweenness - SIGNOR;neighbour bridgeness - ReactomeFI;neighbour betweenness - ReactomeFI;target bridgeness - ReactomeFI;target betweenness - ReactomeFI;prognostic;predisposing;diagnostic;predictive
1;106;1;1;1;0.0414;0;0;118;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;28;0;0;4;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.000215;762.399806;0;0;109.596942;48738.69735;8.567216;16370.93424;0.226718;152814.2476;0.015694;6640.645314;1;1;1;0
1;66;0;1;1;0.0446;0;0;118;0;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.218268;29959.80011;8.567216;16370.93424;0.000705;7632.123939;0.015694;6640.645314;1;1;1;1
1;110;1;1;1;0.0703;0;0;118;0;1;1;1;0;0;0;0;1;1;0;0;1;1;0;0;1;14;0;0;2;0;0;;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0.025377;20673.27086;0;0;99.554448;69869.81168;8.567216;16370.93424;0.046798;120532.0675;0.015694;6640.645314;1;1;0;0
1;88;0;1;1;0.1778;0;0;118;0;1;1;1;0;0;0;0;1;1;0;0;1;1;0;0;1;4;0;0;0;0;0;;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.185388;18011.56097;8.567216;16370.93424;6.475373;561506.3285;0.015694;6640.645314;1;0;1;1
1;137;0;0;1;0.3333;0;1;118;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8.567216;16370.93424;0.007312;6021.974584;0.015694;6640.645314;1;0;1;1
1;132;1;1;1;0.3783;0;0;116;1;1;1;1;0;1;0.0271;1;1;1;1;0;0;1;0;0;0;16;0;0;1;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.003038;508.292333;0.000004;0;42.873064;3929.696271;0.001278;25026.3772;0.009519;17079.95886;0.009829;4048.892016;1;1;1;0
1;55;1;1;1;0.0764;0;0;116;1;1;1;1;0;1;0.0271;1;1;1;1;0;0;1;0;0;0;18;0;0;4;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.635562;0;0.000004;0;0.219632;1051.065709;0.001278;25026.3772;0.068347;15869.1681;0.009829;4048.892016;1;1;1;1
1;123;1;1;1;0.1896;0;0;116;1;1;1;1;0;1;0.0271;1;1;1;1;0;0;1;0;0;0;5;0;0;1;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.000264;851.203026;0.000004;0;0.000897;8321;0.001278;25026.3772;0.003192;7220.372761;0.009829;4048.892016;1;0;1;0
1;96;0;1;1;0.0989;0;0;116;1;1;1;1;0;1;0.0271;0;1;1;0;0;0;1;0;0;0;6;0;0;1;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0.000004;0;0.000035;0;0.001278;25026.3772;0.004279;9570.114402;0.009829;4048.892016;1;1;1;1
1;131;1;1;1;0.2155;0;0;116;1;1;1;1;0;1;0.0271;1;1;1;1;0;0;1;0;0;0;4;0;0;1;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.242056;10093.61777;0.000004;0;24.984204;10607.21588;0.001278;25026.3772;0.303966;11866.50181;0.009829;4048.892016;1;1;0;0
1;134;1;1;1;0.0513;0;0;116;1;1;1;1;0;1;0.0271;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.000329;4295.040969;0.000004;0;6.872274;177012.4635;0.001278;25026.3772;0.348245;138050.0974;0.009829;4048.892016;1;1;1;1
1;27;0;1;1;0.0581;0;0;116;1;1;1;1;0;1;0.0271;0;1;1;0;0;0;1;0;0;0;6;0;0;2;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0.000004;0;0.007034;0.563147;0.001278;25026.3772;0.220252;37360.07752;0.009829;4048.892016;1;1;1;1
1;106;1;1;1;0.0414;0;0;116;1;1;1;1;0;1;0.0271;1;1;1;1;0;0;1;0;0;0;27;0;0;6;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.000215;762.399806;0.000004;0;109.596942;48738.69735;0.001278;25026.3772;0.226718;152814.2476;0.009829;4048.892016;1;1;1;0
1;110;1;1;1;0.0703;0;0;116;1;1;1;1;0;1;0.0271;1;1;1;1;0;0;1;0;0;0;19;0;0;3;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.025377;20673.27086;0.000004;0;99.554448;69869.81168;0.001278;25026.3772;0.046798;120532.0675;0.009829;4048.892016;1;1;0;0
1;181;1;1;1;0.12;0;0;116;1;1;1;1;0;1;0.0271;1;1;1;1;0;0;1;0;0;0;18;0;0;3;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.00238;554.822061;0.000004;0;0.361637;13196.46812;0.001278;25026.3772;0.441463;78035.84905;0.009829;4048.892016;1;0;1;0
1;72;1;1;1;0.1567;0;0;116;1;1;1;1;0;1;0.0271;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.048112;62384.57186;0.000004;0;4.294762;996999.4336;0.001278;25026.3772;2.03794;542579.0695;0.009829;4048.892016;1;1;1;1
1;137;0;0;1;0.3333;0;1;116;1;1;1;1;0;1;0.0271;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.000004;0;0;0;0.001278;25026.3772;0.007312;6021.974584;0.009829;4048.892016;1;0;1;1
1;230;0;1;0;0.7863;0;0;196;1;1;1;1;0;1;0.2199;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000001;0;0.117637;1855.671424;1.167222;30330.08279;0;0;0.539564;140664.3919;1;1;1;1
1;61;1;1;1;0.3739;0;0;196;1;1;1;1;0;1;0.2199;1;1;1;1;0;0;1;0;0;0;13;0;0;3;0;0;;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0.036289;16894.73207;0.000001;0;75.73516;67956.39987;1.167222;30330.08279;12.628599;255951.3753;0.539564;140664.3919;1;1;1;1
1;101;1;1;1;0.0814;0;0;196;1;1;1;1;0;1;0.2199;1;1;1;1;0;1;0;0;0;1;0;0;1;0;0;0;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0.048468;393.420513;0.000001;0;14.957761;4755.872824;1.167222;30330.08279;0.181938;121892.36;0.539564;140664.3919;1;1;1;1
1;103;1;1;1;0.0341;0;0;196;1;1;1;1;0;1;0.2199;1;1;1;1;0;0;1;0;0;0;5;0;0;1;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.068941;1340.513752;0.000001;0;0.000572;650.52756;1.167222;30330.08279;0.183737;7543.183814;0.539564;140664.3919;1;1;1;1
1;115;1;1;1;0.2971;0;0;196;1;1;1;1;0;1;0.2199;1;1;1;1;0;0;1;0;0;0;15;0;0;1;0;0;;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0.184184;22018.13763;0.000001;0;130.857201;333991.4556;1.167222;30330.08279;2.64786;1098316.382;0.539564;140664.3919;1;1;1;1
1;170;1;1;1;0.2334;0;0;196;1;1;1;1;0;1;0.2199;1;1;1;1;0;1;1;0;0;1;15;0;0;6;0;0;;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;1.422535;6661.265114;0.000001;0;0.667901;21008.50837;1.167222;30330.08279;3.204819;549951.5173;0.539564;140664.3919;1;1;1;1
